,a1i,a2i,c1i,c2i,c3i,c4i,d1i,d2i,d3i,b1i,b2i,f
Mn,1.2921757594269785,1.0438480756686686,-10.657900868347186,-882.6583480499319,-7674.208143232137,3043.579178494893,32.503053777529495,36822261.687102005,-10738369.568383262,-1.8001810339579862,-0.045614797001301964,0.654
Co,0.8954495449630535,0.23960286450412518,6.579919121114426,-2045.4933402183922,-16959.12315500826,2403.7017355429157,-43.517473582140035,82337296.79941548,-11012933.499702075,-1.640906555085712,0.011068947443419491,0.000543
Ni,0.631537487351784,1.0307857852095685,6.869551027535258,-1215.3621535920452,-13182.937775170507,1512.6692370132473,-51.49223752220917,61158619.43282909,-13802233.015912507,-2.270451790582692,-0.5170464712970995,553.809
Cu,1.4047790199602879,0.025790742170204623,6.41236937593556,-968.3042638826302,-18700.109156122104,-2226.2541724995076,-38.638348579255904,91557467.62722103,14192400.983947659,-1.2997461924131726,0.32610994655538994,0.0
constant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
