curve,ref,compound,resin,bv,cb,c_norm,c0,ebct,flow_in,bed_depth,bed_diam,bed_vol,vel_bed,conc_units,notes
3,hermassi_etal_2022,Er,S950,63.05084746,0.086165414,0.718045113,0.12,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,HREE
3,hermassi_etal_2022,Er,S950,94.91525424,0.102631579,0.855263158,0.12,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,HREE
3,hermassi_etal_2022,Er,S950,128.8135593,0.116165414,0.968045113,0.12,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,HREE
3,hermassi_etal_2022,Er,S950,150.8474576,0.118195489,0.984962406,0.12,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,HREE
3,hermassi_etal_2022,Er,S950,176.6101695,0.117293233,0.977443609,0.12,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,HREE
3,hermassi_etal_2022,Er,S950,236.2711864,0.118421053,0.986842105,0.12,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,HREE
4,hermassi_etal_2022,Ho,S950,0,0.000781955,0.015037594,0.052,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,HREE
4,hermassi_etal_2022,Ho,S950,4.406779661,0.000684211,0.013157895,0.052,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,HREE
4,hermassi_etal_2022,Ho,S950,8.813559322,0.000586466,0.011278195,0.052,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,HREE
4,hermassi_etal_2022,Ho,S950,14.91525424,0.000390977,0.007518797,0.052,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,HREE
4,hermassi_etal_2022,Ho,S950,18.98305085,0.000390977,0.007518797,0.052,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,HREE
4,hermassi_etal_2022,Ho,S950,23.05084746,0.000586466,0.011278195,0.052,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,HREE
4,hermassi_etal_2022,Ho,S950,26.44067797,0.010360902,0.19924812,0.052,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,HREE
4,hermassi_etal_2022,Ho,S950,33.22033898,0.013586466,0.261278195,0.052,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,HREE
4,hermassi_etal_2022,Ho,S950,47.79661017,0.027759398,0.533834586,0.052,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,HREE
4,hermassi_etal_2022,Ho,S950,62.71186441,0.036947368,0.710526316,0.052,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,HREE
4,hermassi_etal_2022,Ho,S950,94.23728814,0.044473684,0.855263158,0.052,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,HREE
4,hermassi_etal_2022,Ho,S950,129.1525424,0.050827068,0.977443609,0.052,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,HREE
4,hermassi_etal_2022,Ho,S950,151.1864407,0.051413534,0.988721805,0.052,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,HREE
4,hermassi_etal_2022,Ho,S950,236.2711864,0.051511278,0.990601504,0.052,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,HREE
5,hermassi_etal_2022,Sm,S950,0.338983051,0.000770677,0.001879699,0.41,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,LREE
5,hermassi_etal_2022,Sm,S950,5.762711864,0.000770677,0.001879699,0.41,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,LREE
5,hermassi_etal_2022,Sm,S950,13.22033898,0.003082707,0.007518797,0.41,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,LREE
5,hermassi_etal_2022,Sm,S950,27.11864407,0.073984962,0.180451128,0.41,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,LREE
5,hermassi_etal_2022,Sm,S950,33.22033898,0.098646617,0.240601504,0.41,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,LREE
5,hermassi_etal_2022,Sm,S950,48.13559322,0.197293233,0.481203008,0.41,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,LREE
5,hermassi_etal_2022,Sm,S950,63.38983051,0.267424812,0.652255639,0.41,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,LREE
5,hermassi_etal_2022,Sm,S950,94.91525424,0.336015038,0.819548872,0.41,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,LREE
5,hermassi_etal_2022,Sm,S950,129.4915254,0.39612782,0.966165414,0.41,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,LREE
5,hermassi_etal_2022,Sm,S950,176.6101695,0.389191729,0.94924812,0.41,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,LREE
5,hermassi_etal_2022,Sm,S950,235.9322034,0.404605263,0.986842105,0.41,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,LREE
6,hermassi_etal_2022,Yb,S950,0,0.000902256,0.011278195,0.08,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,HREE
6,hermassi_etal_2022,Yb,S950,4.06779661,0.00075188,0.009398496,0.08,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,HREE
6,hermassi_etal_2022,Yb,S950,10.50847458,0.000902256,0.011278195,0.08,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,HREE
6,hermassi_etal_2022,Yb,S950,16.27118644,0.00075188,0.009398496,0.08,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,HREE
6,hermassi_etal_2022,Yb,S950,20.33898305,0.001052632,0.013157895,0.08,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,HREE
6,hermassi_etal_2022,Yb,S950,26.10169492,0.014887218,0.186090226,0.08,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,HREE
6,hermassi_etal_2022,Yb,S950,32.88135593,0.020601504,0.257518797,0.08,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,HREE
6,hermassi_etal_2022,Yb,S950,47.45762712,0.040300752,0.503759398,0.08,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,HREE
6,hermassi_etal_2022,Yb,S950,63.38983051,0.055488722,0.693609023,0.08,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,HREE
6,hermassi_etal_2022,Yb,S950,95.25423729,0.067368421,0.842105263,0.08,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,HREE
6,hermassi_etal_2022,Yb,S950,129.1525424,0.078195489,0.977443609,0.08,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,HREE
6,hermassi_etal_2022,Yb,S950,151.1864407,0.079097744,0.988721805,0.08,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,HREE
6,hermassi_etal_2022,Yb,S950,176.2711864,0.07924812,0.990601504,0.08,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,HREE
6,hermassi_etal_2022,Yb,S950,236.2711864,0.079097744,0.988721805,0.08,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,HREE
