Problem no.,Oxalate-2,La2-(Oxalate)3(s),Nd2-(Oxalate)3(s),Gd2(Oxalate)3(s),Ce2(Oxalate)3(s),Y2(Oxalate)3(s),Sm2(Oxalate)3(s),Sc2(Oxalate)3(s),Pr2(Oxalate)3(s),Dy2(Oxalate)3(s),Al-Oxalate(s),Ca-Oxalate:3H2O(s),FE-Oxalate(s)
37,17.10011875,0.990993209,0.999368512,0.996649155,0.999594532,0.987647887,0.998401096,0.880353418,0.998747434,0.985328674,1.00E-08,0.600307021,0.892309415
38,17.57511875,0.991887409,0.999421136,0.996969085,0.999652456,0.988768437,0.998553373,0.88640733,0.998886608,0.986684341,1.00E-08,0.632988608,0.900761222
39,18.05011875,0.992716811,0.999460604,0.997272176,0.99971038,0.98978475,0.998705649,0.892256719,0.998990988,0.987919504,1.00E-08,0.663609922,0.90870928
40,18.52511875,0.993494376,0.999513228,0.997558429,0.99971038,0.990748945,0.998781788,0.897901583,0.999095369,0.989094415,1.00E-08,0.692292155,0.916265532
41,19.00011875,0.994220103,0.999552696,0.997811006,0.999768304,0.99166102,0.998934064,0.903382828,0.999199749,0.990209074,1.00E-08,0.7191565,0.923318034
42,19.47511875,0.994881033,0.999592164,0.998063582,0.999768304,0.992494918,0.999086341,0.908659549,0.999269336,0.991203229,1.00E-08,0.74432415,0.929978731
43,19.95011875,0.995477166,0.999618476,0.998282481,0.999826228,0.993250638,0.999162479,0.913813556,0.999373717,0.992137133,1.00E-08,0.767795104,0.936247621
44,20.42511875,0.99603442,0.999657944,0.998484542,0.999826228,0.993980299,0.999238617,0.918803943,0.999443304,0.993010785,1.00E-08,0.78960976,0.942124706
45,20.90011875,0.996526878,0.999684256,0.998669765,0.999884152,0.994605723,0.999314756,0.923671616,0.999512891,0.993794059,1.00E-08,0.809970106,0.947609985
46,21.37511875,0.996980457,0.999723724,0.998838149,0.999884152,0.995205087,0.999390894,0.92837567,0.999582478,0.994486955,1.00E-08,0.828795346,0.952703459
47,21.85011875,0.997382199,0.999750036,0.998972856,0.999884152,0.995752332,0.999467032,0.932957009,0.999617271,0.9951196,1.00E-08,0.846206674,0.957461099
48,22.32511875,0.997732103,0.999776348,0.999107564,0.999942076,0.9962214,0.99954317,0.937374729,0.999686858,0.995722118,1.00E-08,0.862244486,0.961826934
49,22.80011875,0.998043129,0.999789504,0.999225433,0.999942076,0.996664408,0.999619309,0.941669735,0.999721652,0.996234259,1.00E-08,0.876989577,0.965912907
50,23.27511875,0.998328236,0.999815816,0.999343302,0.999942076,0.997055298,0.999695447,0.945842026,0.999756445,0.996686148,1.00E-08,0.890522744,0.969607075
51,23.75011875,0.998561505,0.999828972,0.999427494,0.999942076,0.997420128,0.999695447,0.949891602,0.999791239,0.997107911,1.00E-08,0.902965177,0.973077354
52,24.22511875,0.998781815,0.999855284,0.999511686,0.999942076,0.99773284,0.999771585,0.953818464,0.999826032,0.997499548,1.00E-08,0.914357276,0.976267771
53,24.70011875,0.998976207,0.99986844,0.999595878,1,0.998019492,0.999771585,0.957622612,0.999860826,0.997830933,1.00E-08,0.924860629,0.979178328
54,25.17511875,0.999144679,0.999881596,0.999646393,1,0.998280085,0.999847723,0.961385855,0.999895619,0.998132193,1.00E-08,0.934556031,0.981864995
55,25.65011875,0.999287232,0.999894752,0.999713747,1,0.998540679,0.999847723,0.965026384,0.999895619,0.998433452,1.00E-08,0.943483881,0.984383746
56,26.12511875,0.999416826,0.999907908,0.999764262,1,0.998749153,0.999847723,0.968626007,0.999930413,0.998674459,1.00E-08,0.951724974,0.986678607
57,26.60011875,0.999520502,0.999921064,0.999814777,1,0.998957628,0.999923862,0.972143821,0.999930413,0.998885341,1.00E-08,0.959319706,0.98874958
58,27.07511875,0.999624177,0.99993422,0.999848454,1,0.999140043,0.999923862,0.975661635,0.999965206,0.999096222,1.00E-08,0.966308475,0.990708609
59,27.55011875,0.999701934,0.999947376,0.999882131,1,0.999296399,0.999923862,0.97909764,0.999965206,0.999276978,1.00E-08,0.972691282,0.99249972
60,28.02511875,0.99977969,0.999960532,0.999915808,1,0.999426695,0.999923862,0.982451835,0.999965206,0.999427607,1.00E-08,0.978468126,0.994066943
61,28.50011875,0.999831528,0.999973688,0.999932646,1,0.999583051,1,0.985765125,0.999965206,0.999578237,1.00E-08,0.98359861,0.995522221
62,28.97511875,0.999961122,0.999986844,0.999983162,1,0.999869703,1,0.995132327,1,0.999909622,1.00E-08,0.990223802,0.998768611
63,29.45011875,0.999987041,1,1,1,0.999947881,1,0.997586616,1,0.999969874,1.00E-08,0.997899329,0.999384305
64,29.92511875,1,1,1,1,1,1,1,1,1,1.00E-08,1,1
